source,relative_path,size,sha256,coverage_status,covered_by,action
com.girlwars.kr,files/build/download/skillprefabsandres/1002.assetbundle,235315,ad7130002ab74d756e9f15856c6c455768aeb3e154cf92b5083d9435417de7df,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1002.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1003.assetbundle,260450,b4af986f134ce0e69de6a2d61949b3d059a6ae1ef1e4330150e50a0746c257d3,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1003.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1005.assetbundle,149721,4856975e22b4b4f025a7a4cc45b252ecb13f113dc2dd3598bf483fb5493d6ff4,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1005.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1006.assetbundle,819649,7b910c6a713b5a5c3109d33caf2b6b74274cfb1e68c2e0aac132219a2066e7b6,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1006.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1007.assetbundle,1031048,6eb0127e73061491a35a3af242d0bee8f28789abcfcc7791926a1b08a083427f,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1007.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1008.assetbundle,100774,d0ace8cc6e1071acdb5ac31b31a34c078ab72a3ca922a73dc792daf13c32b107,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1008.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1009.assetbundle,1079563,c0cf8880cadb5819438e7d9c0a146cf21eb07525a8830a4d65cf05058292579f,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1009.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1010.assetbundle,383235,591a5b710aec02919014bf5f63f5a4689a73e6b1213bfc9e127560e430760c1c,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1010.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1011.assetbundle,629610,913d68f7c01f55064cefc740a3dfe547e4aab2ce6acdc95ee34d3bb83230eac3,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1011.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1012.assetbundle,2041906,892cbf53d70d36ee88519aa36d28514b37dc262b2f3696870fff5d6216e1a988,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1012.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1015.assetbundle,1024580,82ae4a5c4b212b2541ca2b82eae65cd20110210f3516c9ff796c917e1c11ad15,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1015.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1018.assetbundle,1068611,1bedde8208ceb78a69aa4a055fdeaad6834732005c18ea7441e330a297156bb3,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1018.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1019.assetbundle,538863,cfa497a23f99bd540bb091052e2bb2193a0b57b5f4c9fe3f162261661ad66fc9,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1019.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1021.assetbundle,469380,4cdafd8222be60ab80de172f52c71837d2e1861170bfb5b2f5cd4d962cb877e2,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1021.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1022.assetbundle,308738,7b0ac90cbae06adffac10d7dc568601b748c51ae4b626e9041ad3e128c8b9b6a,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1022.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1023.assetbundle,1423238,a647bedc1b5a3d0d272bcff732874178e65952a9308419968dca790d1b9127fc,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1023.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1024.assetbundle,306200,0a6616fc885de84c632400941b6dc3a3e48b4003dfa6e89a88ce780c837d0fff,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1024.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1025.assetbundle,797198,3eb3f12068da4e54c1e67ea8d2504b30e888f4d80d8779655b1de8533a09ea3b,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1025.assetbundle,
com.girlwars.kr,files/build/download/skillprefabsandres/1027.assetbundle,1125628,525670daa73e12e63eb99c1e78968dc63ade4d8546f73547ebd3b25ea5fe6720,covered_as_latest_winner,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\merged_content\AssetBundles\download\skillprefabsandres\1027.assetbundle,
