font_key,bundle,font_path_id,glyph_index,width,height,bearing_x,bearing_y,advance,rect_x,rect_y,rect_width,rect_height,scale,atlas_index
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2860,43.8125,37.5625,-0.765625,31.15625,44.0,881,289,45,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2861,43.46875,38.75,-0.3125,31.3125,44.0,1376,929,45,40,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2864,43.359375,38.03125,-0.3125,31.71875,44.0,937,229,45,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2865,43.359375,37.71875,-0.3125,31.3125,44.0,958,858,45,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2869,43.359375,38.15625,-0.3125,31.3125,44.0,959,916,45,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2871,40.0,37.5625,-0.078125,31.15625,44.0,1355,67,41,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2886,39.40625,37.5625,-0.6875,31.15625,44.0,959,974,40,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2888,38.390625,37.71875,0.5625,31.3125,44.0,1018,974,39,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2890,38.15625,37.71875,0.5625,31.3125,44.0,999,67,39,39,1.0,0
riyu_shenzong_0.2_0.2,download/ui/uifont/japanese/tmp/riyu_shenzong_0.2_0.2.assetbundle,3915512785997640839,2892,38.84375,38.671875,0.5625,31.3125,44.0,999,125,40,40,1.0,0
