target,hierarchy_path,game_object_local_id,image_component_local_id,active_in_hierarchy,sibling_index,anchor_min_x,anchor_min_y,anchor_max_x,anchor_max_y,pivot_x,pivot_y,anchored_pos_x,anchored_pos_y,size_delta_x,size_delta_y,local_scale_x,local_scale_y,local_scale_z,rect_width,rect_height,rect_area,sprite_null,sprite_name,sprite_local_id,sprite_reference_string,material_name,material_local_id,raycast_target,color,white_no_sprite,cause_class
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/lingtu_boxicon,0,0,1,2,0.5,0.5,0.5,0.5,0.5,0.5,76,-106,242,188,0.55,0.55,1,242,188,45496,1,,0,missing#53202,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/titan_boxicon,0,0,1,2,0.5,0.5,0.5,0.5,0.5,0.5,76,-106,242,188,0.55,0.55,1,242,188,45496,1,,0,missing#53202,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/box,0,0,1,6,0.5,0.5,0.5,0.5,0.5,0.5,72,-111,242,188,0.55,0.55,1,242,188,45496,1,,0,missing#53202,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/Boxicon,0,0,1,6,0.5,0.5,0.5,0.5,0.5,0.5,73,-111,242,188,0.55,0.55,1,242,188,45496,1,,0,missing#53202,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa6/Boxicon,0,0,1,6,0.5,0.5,0.5,0.5,0.5,0.5,73,-111,242,188,0.55,0.55,1,242,188,45496,1,,0,missing#53202,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa8/box,0,0,1,6,0.5,0.5,0.5,0.5,0.5,0.5,72,-111,242,188,0.55,0.55,1,242,188,45496,1,,0,missing#53202,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa10/guideRoot/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,131.7,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa2/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,131.7,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa3/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,139.8,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
UI_GuildMain,UI_GuildMain_NavigationPrototype/middle/root_wanfa/Viewport/ContentWanfa/btn_wanfa4/node_tips/itembg,0,0,0,0,0,1,0,1,0.5,0.5,135.8,-20.7,296,150,1,1,1,296,150,44400,1,,0,missing#46800,Default UI Material,0,1,FFFFFFFF,1,missing_sprite_serialized_reference
