font_key,bundle,font_path_id,unicode,unicode_hex,char,glyph_index,scale,element_type
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,44592,U+AE30,기,1241,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,44596,U+AE34,긴,1243,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,44620,U+AE4C,까,1253,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,44760,U+AED8,께,1287,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,44867,U+AF43,꽃,1310,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,44988,U+AFBC,꾼,1328,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45000,U+AFC8,꿈,1331,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45180,U+B07C,끼,1365,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45196,U+B08C,낌,1369,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45208,U+B098,나,1373,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45209,U+B099,낙,1374,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45212,U+B09C,난,1376,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45216,U+B0A0,날,1378,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45224,U+B0A8,남,1381,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45236,U+B0B4,내,1390,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45320,U+B108,너,1405,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45328,U+B110,널,1409,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45376,U+B140,녀,1427,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45380,U+B144,년,1429,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45392,U+B150,념,1431,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45432,U+B178,노,1438,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45440,U+B180,놀,1441,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45572,U+B204,누,1466,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45712,U+B290,느,1489,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45716,U+B294,는,1491,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45733,U+B2A5,능,1498,1.0,1
riyu,download/ui/uifont/japanese/tmp/riyu.assetbundle,2268522548353052838,45768,U+B2C8,니,1504,1.0,1
