category,bundle,path_id,type,name,width,height,output,error
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,2137210948083058319,Texture2D,un_AutoBattle_atmosphere,256,256,extracted/unity/bundles/b_867e6a124a930e9f/images/T/2137210948083058319_un_AutoBattle_atmosphere.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,2281648775276361517,Texture2D,un_AutoBattle_atmosphere1,64,64,extracted/unity/bundles/b_867e6a124a930e9f/images/T/2281648775276361517_un_AutoBattle_atmosphere1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,3210306642220170555,Texture2D,un_AutoBattle_atmosphere2,256,256,extracted/unity/bundles/b_867e6a124a930e9f/images/T/3210306642220170555_un_AutoBattle_atmosphere2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-6654950392408247380,Texture2D,un_AutoBattle_automatic,64,64,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-6654950392408247380_un_AutoBattle_automatic.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-8881774976658299082,Texture2D,un_AutoBattle_automatic1,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-8881774976658299082_un_AutoBattle_automatic1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-9174184296867891186,Texture2D,un_AutoBattle_automatic2,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-9174184296867891186_un_AutoBattle_automatic2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,5480453254389249888,Texture2D,un_AutoBattle_automatic3,256,256,extracted/unity/bundles/b_867e6a124a930e9f/images/T/5480453254389249888_un_AutoBattle_automatic3.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-7428209402354103269,Texture2D,un_AutoBattle_chapter,512,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-7428209402354103269_un_AutoBattle_chapter.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-4744360944568795787,Texture2D,un_AutoBattle_chapter1,256,256,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-4744360944568795787_un_AutoBattle_chapter1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-512909095802694788,Texture2D,un_AutoBattle_chapter2,256,64,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-512909095802694788_un_AutoBattle_chapter2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-3693321115371836374,Texture2D,un_AutoBattle_common_line1,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-3693321115371836374_un_AutoBattle_common_line1.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-5628618429310810857,Texture2D,un_AutoBattle_common_line2,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-5628618429310810857_un_AutoBattle_common_line2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-7133786584733467744,Texture2D,un_AutoBattle_common_line3,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-7133786584733467744_un_AutoBattle_common_line3.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_12.assetbundle,-3601242493095992320,Texture2D,un_AutoBattle_common_line4,128,128,extracted/unity/bundles/b_867e6a124a930e9f/images/T/-3601242493095992320_un_AutoBattle_common_line4.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_2.assetbundle,5854208414441957726,Texture2D,smallgame_fish,256,128,extracted/unity/bundles/b_c43bdde95a34221f/images/T/5854208414441957726_smallgame_fish.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_2.assetbundle,3995406471227340334,Texture2D,smallgame_lust,128,256,extracted/unity/bundles/b_c43bdde95a34221f/images/T/3995406471227340334_smallgame_lust.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-8192877278507935615,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-3274485156632240987,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,2027472312923212143,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,7156440626358089089,Sprite,,,,,Cannot cast ufunc 'solve1' input 1 from dtype('O') to dtype('float64') with casting rule 'same_kind'
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,7744637225738098859,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,7755173033944760338,Sprite,,,,,Cannot cast ufunc 'solve1' input 1 from dtype('O') to dtype('float64') with casting rule 'same_kind'
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,7951296547929131227,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,432648262361970545,Texture2D,xtx_jlztb10,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/432648262361970545_xtx_jlztb10.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,1692982297342322397,Texture2D,xtx_jlztb11,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/1692982297342322397_xtx_jlztb11.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-8096924653676287296,Sprite,xtx_jlztb12,251,59,extracted/unity/bundles/b_8adc94f5b15925f6/images/S/-8096924653676287296_xtx_jlztb12.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-1213423591376807412,Texture2D,xtx_jlztb12,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/-1213423591376807412_xtx_jlztb12.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-2367795628697294513,Texture2D,xtx_jlztb2,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/-2367795628697294513_xtx_jlztb2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-1539774198862188919,Sprite,xtx_jlztb2,248,57,extracted/unity/bundles/b_8adc94f5b15925f6/images/S/-1539774198862188919_xtx_jlztb2.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-7203867484406493349,Texture2D,xtx_jlztb3,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/-7203867484406493349_xtx_jlztb3.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,6344550731037434882,Sprite,xtx_jlztb3,260,61,extracted/unity/bundles/b_8adc94f5b15925f6/images/S/6344550731037434882_xtx_jlztb3.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,5125895341500641487,Texture2D,xtx_jlztb4,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/5125895341500641487_xtx_jlztb4.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,6695391329563258360,Texture2D,xtx_jlztb5,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/6695391329563258360_xtx_jlztb5.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,-4667898970843550346,Texture2D,xtx_jlztb6,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/-4667898970843550346_xtx_jlztb6.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,791530418461001799,Texture2D,xtx_jlztb7,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/791530418461001799_xtx_jlztb7.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,8985999762457809120,Texture2D,xtx_jlztb8,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/8985999762457809120_xtx_jlztb8.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,3873352376781999963,Texture2D,xtx_jlztb9,272,62,extracted/unity/bundles/b_8adc94f5b15925f6/images/T/3873352376781999963_xtx_jlztb9.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_3.assetbundle,6319717789012101733,Sprite,xtx_jlztb9,268,57,extracted/unity/bundles/b_8adc94f5b15925f6/images/S/6319717789012101733_xtx_jlztb9.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,-8419141269806275284,Texture2D,feiniao,256,256,extracted/unity/bundles/b_54160487e831ecbe/images/T/-8419141269806275284_feiniao.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,6751090260461052919,Texture2D,newworld_zhandou,128,256,extracted/unity/bundles/b_54160487e831ecbe/images/T/6751090260461052919_newworld_zhandou.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,8496387604987349083,Texture2D,newworld_zhuxian,256,64,extracted/unity/bundles/b_54160487e831ecbe/images/T/8496387604987349083_newworld_zhuxian.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,-1646059305751044140,Texture2D,shuiwen,512,512,extracted/unity/bundles/b_54160487e831ecbe/images/T/-1646059305751044140_shuiwen.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,-2204995606893100985,Texture2D,shuiwen_a,256,256,extracted/unity/bundles/b_54160487e831ecbe/images/T/-2204995606893100985_shuiwen_a.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,6735924688579652924,Texture2D,sp_earth_idlereward_banner,256,512,extracted/unity/bundles/b_54160487e831ecbe/images/T/6735924688579652924_sp_earth_idlereward_banner.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,-7015122538861122661,Texture2D,wave_a,512,256,extracted/unity/bundles/b_54160487e831ecbe/images/T/-7015122538861122661_wave_a.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,-4962681585373059803,Texture2D,wave_b,512,256,extracted/unity/bundles/b_54160487e831ecbe/images/T/-4962681585373059803_wave_b.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_5.assetbundle,2933719300458953267,Texture2D,yuyue,256,256,extracted/unity/bundles/b_54160487e831ecbe/images/T/2933719300458953267_yuyue.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_6.assetbundle,-2021687427717794563,Texture2D,newworld_baoxiang,1024,512,extracted/unity/bundles/b_ebdf584971c64cb8/images/T/-2021687427717794563_newworld_baoxiang.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_6.assetbundle,-3203292905340720111,Texture2D,newworld_mohuayaoshi,1024,512,extracted/unity/bundles/b_ebdf584971c64cb8/images/T/-3203292905340720111_newworld_mohuayaoshi.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_6.assetbundle,-6371314327251279632,Texture2D,newworld_shijianbaoxiang,512,256,extracted/unity/bundles/b_ebdf584971c64cb8/images/T/-6371314327251279632_newworld_shijianbaoxiang.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_6.assetbundle,-5922533099162903657,Texture2D,sp_idle_tips,256,64,extracted/unity/bundles/b_ebdf584971c64cb8/images/T/-5922533099162903657_sp_idle_tips.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_7.assetbundle,6614385833469164935,Texture2D,Spine_map_auto,256,256,extracted/unity/bundles/b_67919aa204e3c4d8/images/T/6614385833469164935_Spine_map_auto.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_7.assetbundle,-400720173877406054,Texture2D,Spine_map_award,1024,512,extracted/unity/bundles/b_67919aa204e3c4d8/images/T/-400720173877406054_Spine_map_award.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_7.assetbundle,6929992731026518338,Texture2D,newworld_zhangjiekaiqi,2048,256,extracted/unity/bundles/b_67919aa204e3c4d8/images/T/6929992731026518338_newworld_zhangjiekaiqi.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_7.assetbundle,-9216196293674247801,Texture2D,newworld_zhangjietongguan,2048,256,extracted/unity/bundles/b_67919aa204e3c4d8/images/T/-9216196293674247801_newworld_zhangjietongguan.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_7.assetbundle,-4541060636726954794,Texture2D,spine_idle_battle,256,256,extracted/unity/bundles/b_67919aa204e3c4d8/images/T/-4541060636726954794_spine_idle_battle.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_8.assetbundle,-7063568908301107015,Sprite,,,,,cannot convert float NaN to integer
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_8.assetbundle,-4791072284739575932,Texture2D,xtx_tgbndi,1201,649,extracted/unity/bundles/b_a480191f68635cbb/images/T/-4791072284739575932_xtx_tgbndi.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_9.assetbundle,8501139332677272989,Texture2D,Default-Particle,64,64,extracted/unity/bundles/b_cdcbc047605dca52/images/T/8501139332677272989_Default-Particle.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_prefabs.assetbundle,-2320101112833093935,Sprite,,,,,Cannot cast ufunc 'solve1' input 1 from dtype('O') to dtype('float64') with casting rule 'same_kind'
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_prefabs.assetbundle,-6932470282978226757,Sprite,Background,32,32,extracted/unity/bundles/b_db5e5521c86e5cb9/images/S/-6932470282978226757_Background.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_prefabs.assetbundle,-2073397675325871705,Texture2D,Background,32,32,extracted/unity/bundles/b_db5e5521c86e5cb9/images/T/-2073397675325871705_Background.png,
battle_ui_prefab_or_ext,download/ui/uiprefabandres/earth_ext_prefabs.assetbundle,8501139332677272989,Texture2D,Default-Particle,64,64,extracted/unity/bundles/b_db5e5521c86e5cb9/images/T/8501139332677272989_Default-Particle.png,
