page,detailId,title,characterNameFromTitle,heroDid,localName,matchType,ambiguousCandidates,prefabId,heroDataExists,battleActorBundleExists,roleBigSetPaintingExists,skillBundleExists,battleheadExists,battleheadPath,detailUrl
4,2038466,소녀전쟁 | 미나모토노 요시츠네 원화,미나모토노 요시츠네,1024,미나모토노 요시츠네,exact_name,,1024,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-1845886879065860383_battlehead_Q_1024.png,https://game.naver.com/lounge/girlwars/board/detail/2038466
4,2038463,소녀전쟁 | 조자룡 원화,조자룡,1041,조자룡,exact_name,21041:조자룡:exact_name|22041:조자룡:exact_name|31041:조자룡:exact_name,1041,True,False,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-6893670567671341778_battlehead21041.png,https://game.naver.com/lounge/girlwars/board/detail/2038463
4,2038462,소녀전쟁 | 모리 모토나리 원화,모리 모토나리,1018,모리 모토나리,exact_name,,1018,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-4091459169172835040_battlehead_Q_1018.png,https://game.naver.com/lounge/girlwars/board/detail/2038462
4,2038457,소녀전쟁 | 주유 원화,주유,1035,주유,exact_name,,1035,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-5171057200860457460_battlehead1035.png,https://game.naver.com/lounge/girlwars/board/detail/2038457
4,2038455,소녀전쟁 | 지크프리트 원화,지크프리트,1042,지크프리트,exact_name,,1042,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-5233998012499941537_battlehead_Q_1042.png,https://game.naver.com/lounge/girlwars/board/detail/2038455
4,2038451,소녀전쟁 | 도쿠가와 이에야스 원화,도쿠가와 이에야스,1023,도쿠가와 이에야스,exact_name,,1023,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\1204688484547118627_battlehead1023.png,https://game.naver.com/lounge/girlwars/board/detail/2038451
4,2025152,소녀전쟁 | 나오에 카네츠쿠 원화,나오에 카네츠쿠,1014,나오에 카네츠쿠,exact_name,,1014,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\2104134947777571775_battlehead1014.png,https://game.naver.com/lounge/girlwars/board/detail/2025152
4,2025018,소녀전쟁 | 이나히메 원화,이나히메,1013,이나히메,exact_name,,1013,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-8463100914116904274_battlehead_Q_1013.png,https://game.naver.com/lounge/girlwars/board/detail/2025018
4,2025013,소녀전쟁 | 세미라미스 원화,세미라미스,1010,세미라미스,exact_name,,1010,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\3916718346668450318_battlehead1010.png,https://game.naver.com/lounge/girlwars/board/detail/2025013
4,2025003,소녀전쟁 | 다케다 신겐 원화,다케다 신겐,1021,다케다 신겐,exact_name,,1021,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-6189959760382633011_battlehead_Q_1021.png,https://game.naver.com/lounge/girlwars/board/detail/2025003
5,2024991,소녀전쟁 | 예카테리나 원화,예카테리나,1015,예카테리나,exact_name,21015:예카테리나:exact_name|22015:예카테리나:exact_name|31015:예카테리나:exact_name,1015,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-8494626134538599000_battlehead_Q_1015.png,https://game.naver.com/lounge/girlwars/board/detail/2024991
5,2024986,소녀전쟁 | 나폴레옹 원화,나폴레옹,1017,나폴레옹,exact_name,,1017,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-569709459386588231_battlehead_Q_1017.png,https://game.naver.com/lounge/girlwars/board/detail/2024986
5,2024985,소녀전쟁 | 우에스기 겐신 원화,우에스기 겐신,1022,우에스기 겐신,exact_name,,1022,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\6542404546878079161_battlehead_Q_1022.png,https://game.naver.com/lounge/girlwars/board/detail/2024985
5,2024977,소녀전쟁 | 오다 노부나가 원화,오다 노부나가,1016,오다 노부나가,exact_name,,1016,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-4886807372085415516_battlehead_Q_1016.png,https://game.naver.com/lounge/girlwars/board/detail/2024977
5,2024973,소녀전쟁 | 엘리자베스 원화,엘리자베스,1033,엘리자베스,exact_name,,1033,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\1664405533886047933_battlehead1033.png,https://game.naver.com/lounge/girlwars/board/detail/2024973
5,2024970,소녀전쟁 | 옥타비아누스 원화,옥타비아누스,1008,옥타비아누스,exact_name,,1008,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\1877678512291690526_battlehead_Q_1008.png,https://game.naver.com/lounge/girlwars/board/detail/2024970
5,2024967,소녀전쟁 | 사루토비 사스케 원화,사루토비 사스케,1009,사루토비 사스케,exact_name,,1009,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-4992639191904141483_battlehead_Q_1009.png,https://game.naver.com/lounge/girlwars/board/detail/2024967
5,2024962,소녀전쟁 | 미츠히데 원화,미츠히데,1019,미츠히데,exact_name,,1019,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-2849064614607096303_battlehead1019.png,https://game.naver.com/lounge/girlwars/board/detail/2024962
5,2024959,소녀전쟁 | 비스마르크 원화,비스마르크,1034,비스마르크,exact_name,,1034,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-4647259651891963510_battlehead1034.png,https://game.naver.com/lounge/girlwars/board/detail/2024959
5,2024954,소녀전쟁 | 마에다 케이지 원화,마에다 케이지,1007,마에다 케이지,exact_name,,1007,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-3538655031919513815_battlehead_Q_1007.png,https://game.naver.com/lounge/girlwars/board/detail/2024954
5,2024949,소녀전쟁 | 차차 원화,차차,1002,차차,exact_name,,1002,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-1679351262941434321_battlehead_Q_1002.png,https://game.naver.com/lounge/girlwars/board/detail/2024949
5,2024945,소녀전쟁 | 마에다 도시이에 원화,마에다 도시이에,1006,마에다 도시이에,exact_name,,1006,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-9009085719015651977_battlehead1006.png,https://game.naver.com/lounge/girlwars/board/detail/2024945
5,2024941,소녀전쟁 | 모리 란마루 원화,모리 란마루,1004,모리 란마루,exact_name,,1004,True,False,True,False,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\-5736790045190691318_battlehead_Q_1004.png,https://game.naver.com/lounge/girlwars/board/detail/2024941
5,2024935,소녀전쟁 | 링링 원화,링링,1005,링링,exact_name,,1005,True,True,True,True,True,girlswar_merged_extracted\extracted\unity\bundles\b_d7eb2078b5de6a0d\images\S\202024297570807436_battlehead_Q_1005.png,https://game.naver.com/lounge/girlwars/board/detail/2024935
