ownerComName,refRole,fileId,pathId,resolvedBundle,resolvedBundlePath,resolvedBundleExists,resolvedObjectType,resolvedObjectName,resolutionStatus,skeletonScale,skeletonJSONRef,atlasAssetsRefs,atlasFileRef,atlasMaterialRefs,materialShaderRef,materialShaderKeywords,materialMainTextureRef,materialStencilRef,materialStencilComp,materialStencil,materialColorMask,textureWidth,textureHeight,textureFormat,dependencyStatus
sp_guild,skeletonDataAsset,27,7932651464959173778,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_6_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=228557136316383007,fileID=0;pathID=7051211044231272376,fileID=;pathID=,,,,,,,,,,,,resolved
sp_guild,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_guild,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_guild,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_guild,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_maincity,skeletonDataAsset,27,2535488780058187540,download/ui/uiprefabandres/maininterface_ext_1.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\ui\uiprefabandres\maininterface_ext_1.assetbundle,True,MonoBehaviour,SP_Dock_7_SkeletonData,resolved_object,0.009999999776482582,fileID=0;pathID=-6868568269113120160,fileID=0;pathID=4082764829203354029,fileID=;pathID=,,,,,,,,,,,,resolved
sp_maincity,m_Material,6,4191673546758847426,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicDefault,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-8637354332327150364,_STRAIGHT_ALPHA_INPUT _USE8NEIGHBOURHOOD_ON,fileID=0;pathID=0,1.0,8.0,0.0,15.0,,,,resolved
sp_maincity,additiveMaterial,6,-7852358095173771177,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicAdditive,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-2658896852931859588,,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_maincity,multiplyMaterial,6,-13276894215973044,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicMultiply,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=-9061908430178429775,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
sp_maincity,screenMaterial,6,-5524858707655825726,download/commonprefabsandres/spinematandshaders.assetbundle,C:\Users\godho\Downloads\girlswar\girlswar_merged_extracted\extracted\unity\clean_unityfs_slices\download\commonprefabsandres\spinematandshaders.assetbundle,True,Material,SkeletonGraphicScreen,resolved_object,,fileID=;pathID=,,fileID=;pathID=,,fileID=0;pathID=7519826479649483999,_STRAIGHT_ALPHA_INPUT,fileID=0;pathID=0,,8.0,0.0,15.0,,,,resolved
