bundle,component_path_id,game_object_id,game_object_name,script_id,kind,keys
download/ui/uiprefabandres/maininterface.assetbundle,-8260568205126050787,102081521486084841,bg_mohuzhezhao,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8254699646475310341,-8636894632507016656,im_bg,-7030229213176759517,Image,m_Color;m_Enabled;m_FillAmount;m_FillCenter;m_FillClockwise;m_FillMethod;m_FillOrigin;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_PixelsPerUnitMultiplier;m_PreserveAspect;m_RaycastPadding;m_RaycastTarget;m_Script;m_Sprite;m_Type;m_UseSpriteMesh
download/ui/uiprefabandres/maininterface.assetbundle,-8249809827881182677,5513443417071682125,bg_mohuzhezhao,9044316936709120141,MonoBehaviour,m_Enabled;m_GameObject;m_Name;m_Script
download/ui/uiprefabandres/maininterface.assetbundle,-8241999686805195154,1476419751717041805,text_tmp_message (1),-5755350681981302373,Text,checkPaddingRequired;m_Color;m_Enabled;m_GameObject;m_HorizontalAlignment;m_IsTextObjectScaleStatic;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;m_StyleSheet;m_TextStyleHashCode;m_VertexBufferAutoSizeReduction;m_VerticalAlignment;m_baseMaterial;m_charWidthMaxAdj;m_characterSpacing;m_colorMode;m_enableAutoSizing;m_enableExtraPadding;m_enableKerning;m_enableVertexGradient;m_enableWordWrapping;m_faceColor;m_fontAsset;m_fontColor;m_fontColor32;m_fontColorGradient;m_fontColorGradientPreset;m_fontMaterial;m_fontMaterials;m_fontSharedMaterials;m_fontSize;m_fontSizeBase;m_fontSizeMax;m_fontSizeMin;m_fontStyle;m_fontWeight;m_geometrySortingOrder;m_hasFontAssetChanged;m_horizontalMapping;m_isCullingEnabled;m_isOrthographic;m_isRichText;m_isRightToLeft;m_isUsingLegacyAnimationComponent;m_isVolumetricText;m_lineSpacing;m_lineSpacingMax;m_linkedTextComponent;m_margin;m_maskOffset;m_overflowMode;m_overrideHtmlColors;m_pageToDisplay;m_paragraphSpacing;m_parseCtrlCharacters;m_sharedMaterial;m_spriteAsset;m_text;m_textAlignment;m_tintAllSprites;m_useMaxVisibleDescender;m_uvLineOffset;m_verticalMapping;m_wordSpacing;m_wordWrappingRatios;parentLinkedComponent
download/ui/uiprefabandres/maininterface.assetbundle,-8232946838408680016,7292438109052294478,Renderer41,5804373309048859138,MonoBehaviour,m_Color;m_Enabled;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script
download/ui/uiprefabandres/maininterface.assetbundle,-8230228587477914865,-5069919135778306511,bg_dot,-8091456346061954500,MonoBehaviour,m_ChildAlignment;m_ChildControlHeight;m_ChildControlWidth;m_ChildForceExpandHeight;m_ChildForceExpandWidth;m_ChildScaleHeight;m_ChildScaleWidth;m_Enabled;m_GameObject;m_Name;m_Padding;m_ReverseArrangement;m_Script;m_Spacing
download/ui/uiprefabandres/maininterface.assetbundle,-8225426421883115050,4038255204458984157,spine_man,-8877758280253173385,MonoBehaviour,m_Enabled;m_GameObject;m_Name;m_Script
download/ui/uiprefabandres/maininterface.assetbundle,-8215353208867588455,5875002524133667862,bgBtn,8390977652835490180,MonoBehaviour,m_BlockingMask;m_BlockingObjects;m_Enabled;m_GameObject;m_IgnoreReversedGraphics;m_Name;m_Script
download/ui/uiprefabandres/maininterface.assetbundle,-8211870008415952179,7056107878401908667,text,-5392852106782294089,MonoBehaviour,m_Enabled;m_GameObject;m_HorizontalFit;m_Name;m_Script;m_VerticalFit
download/ui/uiprefabandres/maininterface.assetbundle,-8210142757215047182,8726507150467202492,SkeletonGraphic (hongdian01),-6938409698251234290,MonoBehaviour,additiveMaterial;allowMultipleCanvasRenderers;canvasRenderers;enableSeparatorSlots;freeze;initialFlipX;initialFlipY;initialSkinName;m_Color;m_Enabled;m_GameObject;m_Maskable;m_Material;m_Name;m_OnCullStateChanged;m_RaycastPadding;m_RaycastTarget;m_Script;meshGenerator;multiplyMaterial;screenMaterial;separatorParts;separatorSlotNames;skeletonDataAsset;skipByPass;startingAnimation;startingLoop;timeScale;uihide;unscaledTime;updateSeparatorPartLocation;updateWhenInvisible
