bundle,size,sha256,versionfile_res_offset,first_unityfs_offset,used_offset,is_prefix_obfuscated,clean_slice,status,object_count,type_counts
download/ui/uiprefabandres/maininterface_ext_act_other_3_4_long.assetbundle,637343,a9f6ffb110a1e6625787a296aa376eae791cb46fdab680d69262c629aa753fee,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_3_4_long.assetbundle,ok,11,"{""Texture2D"": 5, ""Sprite"": 5, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_4_1.assetbundle,90729,f3e80a73e3d11e1fa3c6042f0b5bf2bc4f776bc6506d51d9dd0b15ca713112f4,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_4_1.assetbundle,ok,9,"{""Texture2D"": 4, ""Sprite"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_4_1_long.assetbundle,510520,0719947b054e1b2f908d0052ba811a1cfaf725595a3d1bd23deb07cf9bd80cf1,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_4_1_long.assetbundle,ok,9,"{""Sprite"": 4, ""Texture2D"": 4, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_6_1.assetbundle,66667,e2861429182efe1ca65e2e0ac0329c71fd4f70e6bda93ee30b32581cc93dbaed,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_6_1.assetbundle,ok,7,"{""Texture2D"": 3, ""Sprite"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_6_1_long.assetbundle,374749,b332544b82a161d092a4a0768c7e90fc71da551340f1f481b777c6dbae132939,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_6_1_long.assetbundle,ok,7,"{""Sprite"": 3, ""Texture2D"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_6_2.assetbundle,43686,5891dcd657ac0c1cf4baa12424f32c0edb1e4079461b04e94793d07c5f24c439,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_6_2.assetbundle,ok,5,"{""Sprite"": 2, ""Texture2D"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_6_2_long.assetbundle,256008,de6613cb81f65cfcb24db25996918aedef9687399ee0f77bf37e5608aefd1063,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_6_2_long.assetbundle,ok,5,"{""Texture2D"": 2, ""Sprite"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_6_3.assetbundle,60550,427ab263188d01ff1e9c80290e534e7f06850165ff8b88f00b7fda320681bcc8,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_6_3.assetbundle,ok,7,"{""Texture2D"": 3, ""Sprite"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_6_3_long.assetbundle,380394,e383a68827182ca063c95cd41673a9f1abe20c43e912b59ee7c8045b8bbab484,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_6_3_long.assetbundle,ok,7,"{""Sprite"": 3, ""Texture2D"": 3, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_7_1.assetbundle,48602,c324c0dacab8a4a91f8b80afae1e1e20a1ef3951c927034df7d68ec3cd7c8305,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_7_1.assetbundle,ok,5,"{""Texture2D"": 2, ""Sprite"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_7_1_long.assetbundle,264121,97d4a563a306e4bfecf2f7ab6e21e049f6b968b1b6dbff7b3a708376f73c2cab,0,1368,1368,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_7_1_long.assetbundle,ok,5,"{""Sprite"": 2, ""Texture2D"": 2, ""AssetBundle"": 1}"
download/ui/uiprefabandres/maininterface_ext_act_other_7_2.assetbundle,155877,6afa8b2ddec624d3e6a454775e4efd7e2eb9b4b2db2b3938ed9e9b508058fefc,0,1367,1367,True,extracted/unity/clean_unityfs_slices/download/ui/uiprefabandres/maininterface_ext_act_other_7_2.assetbundle,ok,15,"{""Texture2D"": 7, ""Sprite"": 7, ""AssetBundle"": 1}"
